method,iteration,elapsed_s,objective,gap_to_exact,trace,upper_bound,rel_gap,rmp_obj,min_reduced_cost,columns
level,41,5.691406488418579,179744.12053257416,96.81753499669139,best_level_dual,180129.87020602444,0.0021415086404552182,,,
level,42,5.928178310394287,179744.12053257416,96.81753499669139,best_level_dual,180101.77152461215,0.001985827174326905,,,
level,43,6.1531829833984375,179744.12053257416,96.81753499669139,best_level_dual,180039.54373117618,0.0016408795116873006,,,
level,44,6.384993553161621,179744.12053257416,96.81753499669139,best_level_dual,180039.54373117615,0.0016408795116871393,,,
level,45,6.649527311325073,179756.50519379304,84.43287377781235,best_level_dual,180039.54373117615,0.001572090950228824,,,
level,46,6.896665096282959,179756.50519379304,84.43287377781235,best_level_dual,180035.64672706576,0.0015504792431239916,,,
level,47,7.159505844116211,179764.63261626326,76.30545130759128,best_level_dual,180035.64672706576,0.0015053358361489149,,,
level,48,7.4399497509002686,179764.63261626326,76.30545130759128,best_level_dual,180005.5227711226,0.0013382375782193888,,,
level,49,7.707336664199829,179766.91367170968,74.02439586116816,best_level_dual,179975.0771010084,0.0011566236428497288,,,
level,50,7.976686477661133,179766.91367170968,74.02439586116816,best_level_dual,179952.10228996683,0.001029099498702951,,,
level,51,8.237729549407959,179778.42230957394,62.51575799690909,best_level_dual,179951.71741288927,0.0009630088881991949,,,
level,52,8.497459650039673,179778.42230957394,62.51575799690909,best_level_dual,179942.51384132612,0.0009119108555795135,,,
level,53,8.765792608261108,179778.42230957394,62.51575799690909,best_level_dual,179941.9351234994,0.0009086976519021453,,,
level,54,9.04379916191101,179778.42230957394,62.51575799690909,best_level_dual,179939.82774110942,0.0008969966991837811,,,
level,55,9.335062980651855,179778.42230957394,62.51575799690909,best_level_dual,179939.8277411093,0.0008969966991831348,,,
level,56,9.648982048034668,179778.42230957394,62.51575799690909,best_level_dual,179939.3856065203,0.0008945417725186358,,,
level,57,9.950627565383911,179778.42230957394,62.51575799690909,best_level_dual,179939.3856065203,0.0008945417725186358,,,
level,58,10.235661745071411,179778.42230957394,62.51575799690909,best_level_dual,179937.32546307598,0.0008831027864457217,,,
level,59,10.55463719367981,179778.42230957394,62.51575799690909,best_level_dual,179936.600147075,0.0008790753930648749,,,
level,60,10.891660928726196,179794.10110440644,46.836963164416375,best_level_dual,179934.6835246224,0.0007812969543291728,,,
level,61,11.193383932113647,179794.10110440644,46.836963164416375,best_level_dual,179923.79497909066,0.0007208266960981601,,,
level,62,11.572151899337769,179794.10110440644,46.836963164416375,best_level_dual,179923.7949790906,0.0007208266960978369,,,
level,63,11.878119945526123,179797.27644477965,43.66162279120181,best_level_dual,179923.7949790906,0.0007031784446612573,,,
level,64,12.20975399017334,179797.27644477965,43.66162279120181,best_level_dual,179923.7949790905,0.0007031784446607724,,,
level,65,12.538484334945679,179797.27644477965,43.66162279120181,best_level_dual,179919.5531901009,0.000679618991672695,,,
level,66,12.870560646057129,179797.27644477965,43.66162279120181,best_level_dual,179919.55319010088,0.0006796189916725334,,,
level,67,13.170702695846558,179798.83859552932,42.09947204153286,best_level_dual,179917.51683367972,0.0006596258120887189,,,
level,68,13.464150190353394,179798.83859552932,42.09947204153286,best_level_dual,179901.08810158854,0.0005683651340756746,,,
level,69,13.817785739898682,179801.49943133115,39.438636239705374,best_level_dual,179895.10059199814,0.0005203096713527511,,,
level,70,14.139374017715454,179808.72824368777,32.20982388308039,best_level_dual,179895.10059199814,0.0004801261847939931,,,
level,71,14.443498134613037,179808.72824368777,32.20982388308039,best_level_dual,179888.84703219344,0.00044537940971589666,,,
level,72,14.781712770462036,179808.72824368777,32.20982388308039,best_level_dual,179888.84703219344,0.00044537940971589666,,,
level,73,15.088233232498169,179811.18701902166,29.75104854919482,best_level_dual,179888.75988203145,0.0004312268485293834,,,
level,74,15.38367486000061,179811.18701902166,29.75104854919482,best_level_dual,179880.85214782914,0.0003872848498084002,,,
level,75,15.761709213256836,179811.18701902166,29.75104854919482,best_level_dual,179880.54568476343,0.0003855818064023768,,,
level,76,16.169239044189453,179813.1792412909,27.75882627995452,best_level_dual,179877.61492874284,0.0003582196010185549,,,
level,77,16.569954872131348,179813.1792412909,27.75882627995452,best_level_dual,179876.9393202016,0.00035446499785727877,,,
level,78,16.90904211997986,179813.1792412909,27.75882627995452,best_level_dual,179876.79000780993,0.00035363521061429774,,,
level,79,17.27271556854248,179813.7663317196,27.171735851239646,best_level_dual,179871.09474884713,0.00031871945410441143,,,
level,80,17.668230772018433,179815.14862026126,25.789447309594834,best_level_dual,179870.31360881435,0.00030669312487588825,,,
level,81,18.00962209701538,179815.14862026126,25.789447309594834,best_level_dual,179870.28990925456,0.00030656140611724775,,,
level,82,18.40119695663452,179817.18515695375,23.752910617098678,best_level_dual,179870.06513050882,0.00029398985048847775,,,
level,83,18.74741005897522,179817.64418762378,23.293879947072128,best_level_dual,179869.58633897384,0.000288776732116172,,,
level,84,19.101857900619507,179818.92770404278,22.01036352806841,best_level_dual,179869.57000493127,0.0002815501303922622,,,
level,85,19.536166429519653,179820.13800423383,20.800063337024767,best_level_dual,179869.57000493127,0.00027482136470382217,,,
level,86,19.915441274642944,179821.42020116662,19.517866404232336,best_level_dual,179869.4401860719,0.0002669713368519521,,,
level,87,20.298758268356323,179823.55998822168,17.378079349175096,best_level_dual,179869.35783633415,0.0002546172881439088,,,
level,88,20.65496587753296,179827.34493036842,13.593137202435173,best_level_dual,179869.34960047566,0.00023352878186607586,,,
level,89,21.033488750457764,179827.34493036842,13.593137202435173,best_level_dual,179869.3496004756,0.0002335287818657523,,,
level,90,21.477784872055054,179828.19987527403,12.738192296819761,best_level_dual,179868.60775032383,0.00022465218114042098,,,
level,91,22.007027864456177,179829.10541337528,11.832654195575742,best_level_dual,179867.56815092318,0.00021383920371698025,,,
level,92,22.38787865638733,179830.39094196487,10.547125605982728,best_level_dual,179864.559709031,0.00018996942544653982,,,
level,93,22.79743719100952,179830.39094196487,10.547125605982728,best_level_dual,179863.59983004114,0.0001846337341610811,,,
level,94,23.220118284225464,179830.39094196487,10.547125605982728,best_level_dual,179861.25234829413,0.00017158451821240885,,,
level,95,23.740093231201172,179830.39094196487,10.547125605982728,best_level_dual,179860.83513313308,0.00016926526080940913,,,
level,96,24.144766092300415,179830.39094196487,10.547125605982728,best_level_dual,179857.9022211214,0.00015296119223438888,,,
level,97,24.594777822494507,179830.39094196487,10.547125605982728,best_level_dual,179857.59438122,0.00015124987826462937,,,
level,98,25.032609701156616,179830.39094196487,10.547125605982728,best_level_dual,179855.44535208636,0.00013930303901805278,,,
level,99,25.444363355636597,179830.39094196487,10.547125605982728,best_level_dual,179854.36680898772,0.0001333071164644605,,,
level,100,25.847683668136597,179830.39094196487,10.547125605982728,best_level_dual,179853.21791401136,0.0001269200090565093,,,
level,101,26.254512310028076,179830.39094196487,10.547125605982728,best_level_dual,179852.64081447915,0.0001237116809267797,,,
level,102,26.676706075668335,179830.39094196487,10.547125605982728,best_level_dual,179850.89667930835,0.00011401520771979598,,,
level,103,27.092638731002808,179830.39094196487,10.547125605982728,best_level_dual,179850.07923189798,0.00010947056580233335,,,
level,104,27.507662057876587,179830.39094196487,10.547125605982728,best_level_dual,179848.12857350137,9.862561082612111e-05,,,
dwp,1,0.08498239517211914,-226558.4935595712,406399.431627142,best_certified_dual,,,182577.73840115298,-119302.48563268429,16
dwp,2,0.20400118827819824,-226558.4935595712,406399.431627142,best_certified_dual,,,182577.73840115243,-158114.5752162498,22
dwp,3,0.3411099910736084,-207355.6848892995,387196.62295687036,best_certified_dual,,,182577.73840115336,-127920.59938342687,28
dwp,4,0.5098474025726318,-105012.6305091581,284853.5685767289,best_certified_dual,,,182577.73840115292,-97677.34144707465,34
dwp,5,0.7130999565124512,-36612.64370048448,216453.58176805533,best_certified_dual,,,182577.73840115292,-73270.38288572592,40
dwp,6,0.9330096244812012,-25161.12236352128,205002.06043109213,best_certified_dual,,,182577.73840115295,-74099.5069180185,46
dwp,7,1.1775457859039307,52708.206187217205,127132.73188035365,best_certified_dual,,,182577.73840115304,-53687.90717583246,52
dwp,8,1.4489960670471191,52708.206187217205,127132.73188035365,best_certified_dual,,,182577.73840115333,-56631.48816336828,58
dwp,9,1.8179821968078613,52708.206187217205,127132.73188035365,best_certified_dual,,,182577.73840115286,-73148.29311641482,64
dwp,10,2.1580231189727783,73383.84355652728,106457.09451104357,best_certified_dual,,,182577.73840115286,-47091.75303139177,70
dwp,11,2.529755115509033,80183.20430626265,99657.7337613082,best_certified_dual,,,182577.73840115228,-41461.025115981975,76
