build_time,delta,end_to_end_time,experiment,ftr_component,gen_uplift,method,milp_obj,n_constraints,n_nonzeros,n_variables,parameter_family,pricing_obj,pricing_time,primal_violation,response_time,seed,status,total_uplift,objective_change_pct,uplift_change_pct,study,schedule_change_ratio
0.2291907999988325,0.001,1.0714305000001332,coefficient_perturbation,16.61091956680462,2733.6872918284616,chp,182595.34361162464,64725.0,466042.0,19335.0,joint,179845.04540768822,1.0094788999995217,0.0,0.0619516000006115,6,optimal,2750.298211395266,0.002283885703843797,0.4931984320496592,joint,
0.4441978931427002,0.001,4.466912734833386,coefficient_perturbation,16.61091902162099,2733.6872907654983,dwp_incremental,182595.34361162464,,,,joint,179845.0454018367,4.410197734832764,,0.0567150000006222,6,optimal,2750.2982097871195,0.002283882450119198,0.4931983732895563,joint,
0.231697900000654,0.001,0.9462462999999844,coefficient_perturbation,16.902897793088254,2724.850833921112,chp,182601.7179039456,64725.0,466042.0,19335.0,joint,179859.96427727173,0.883712500000911,0.0,0.0625337999990733,7,optimal,2741.7537317142,0.010579477211314959,0.18099152716555744,joint,
0.4096753597259521,0.001,4.457346407680234,coefficient_perturbation,16.902897787871623,2724.850833683517,dwp_incremental,182601.7179039456,,,,joint,179859.96417247463,4.399675607681274,,0.0576707999989594,7,optimal,2741.753731471389,0.01057941893920909,0.1809915182934823,joint,
0.2280902999991667,0.001,1.024990500000058,coefficient_perturbation,17.54345737522024,2715.858938774785,chp,182550.822418993,64725.0,466042.0,19335.0,joint,179817.420023687,0.9627464999994118,0.0,0.0622440000006463,8,optimal,2733.4023961500056,-0.013077124031385577,-0.12415808117435335,joint,
0.4562714099884033,0.001,4.795252186544531,coefficient_perturbation,17.543457518792636,2715.858937877032,dwp_incremental,182550.822418993,,,,joint,179817.42002359722,4.7392737865448,,0.0559783999997307,8,optimal,2733.402395395825,-0.013077124081310426,-0.12415810873137793,joint,
0.2431938999998237,0.001,1.013633500000651,coefficient_perturbation,16.77584683470836,2726.892789213509,chp,182651.20158484209,64725.0,466042.0,19335.0,joint,179907.5329531159,0.9520788000008906,0.0,0.0615546999997604,9,optimal,2743.668636048217,0.0370298929848078,0.2509602528911765,joint,
0.369560956954956,0.001,4.589726283380514,coefficient_perturbation,16.7758466795881,2726.892788704903,dwp_incremental,182651.20158484209,,,,joint,179907.532949463,4.533562183380127,,0.0561641000003874,9,optimal,2743.668635384491,0.03702989095361896,0.25096022863927814,joint,
0.222878500000661,0.001,0.9864231999999902,coefficient_perturbation,17.461499941434624,2704.7008623618685,chp,182667.29921021537,64725.0,466042.0,19335.0,joint,179945.13685737396,0.9245651000001088,0.0,0.0618580999998812,10,optimal,2722.162362303304,0.05793942819218595,-0.5348578907657392,joint,
0.3983635902404785,0.001,4.369256243377095,coefficient_perturbation,17.46149822506301,2704.7008608376755,dwp_incremental,182667.29921021537,,,,joint,179945.13685115296,4.3113627433776855,,0.0578934999994089,10,optimal,2722.1623590627387,0.057939424733016956,-0.5348580091728085,joint,
0.2316067000010662,0.005,1.041619300000093,coefficient_perturbation,16.082273137074267,2744.798177617471,chp,182901.86229833047,64725.0,466042.0,19335.0,joint,180140.98184822415,0.9789221999999428,0.0,0.0626971000001503,1,optimal,2760.8804507545456,0.16683843248889746,0.8798630764076273,joint,
0.4284684658050537,0.005,4.18784072438757,coefficient_perturbation,16.082273143580572,2744.7981773209094,dwp_incremental,182901.86229833047,,,,joint,180140.98184786737,4.127468824386597,,0.0603719000009732,1,optimal,2760.88045046449,0.16683843229050888,0.8798630658092804,joint,
0.231235100000049,0.005,1.0282447999998112,coefficient_perturbation,16.06471131496114,2816.2175447753502,chp,182683.6300790114,64725.0,466042.0,19335.0,joint,179851.34782295788,0.9671302999995532,0.0,0.0611145000002579,2,optimal,2832.2822560903114,0.005788324313945059,3.48881499379753,joint,
