build_time,delta,end_to_end_time,experiment,ftr_component,gen_uplift,method,milp_obj,n_constraints,n_nonzeros,n_variables,parameter_family,pricing_obj,pricing_time,primal_violation,response_time,schedule_change_ratio,seed,status,total_uplift,objective_change_pct,uplift_change_pct
0.416384220123291,0.001,4.2656791116787645,family_sensitivity,17.340740099289622,2716.743258907421,dwp_incremental,182562.22830538495,,,,demand,179828.14430637806,4.204383611679077,,0.0612954999996873,0.0,3,optimal,2734.08399900671,-0.007113919653361471,-0.09925298148484958
0.2218482999996922,0.001,1.0307842999991408,family_sensitivity,17.332683848102615,2722.9688674287145,chp,182623.6563888609,64725.0,466042.0,19335.0,demand,179883.35484247538,0.9677942999987864,0.0,0.0629900000003544,0.0,4,optimal,2740.301551276817,0.02358572899011602,0.12793027866223938
0.3839948177337646,0.001,4.658362065963956,family_sensitivity,17.332714276949762,2722.968832866565,dwp_incremental,182623.6563888609,,,,demand,179883.35484171737,4.597994565963745,,0.0603675000002112,0.0,4,optimal,2740.301547143515,0.023585728568627302,0.12793012763544298
0.2227726000000984,0.001,0.9809220000006462,family_sensitivity,17.404111023634393,2718.583201435667,chp,182562.69154908217,64725.0,466042.0,19335.0,demand,179826.70423701074,0.9174430000002758,0.0,0.0634790000003704,0.0,5,optimal,2735.9873124593014,-0.007914665792126184,-0.02970777519516432
0.3905549049377441,0.001,4.549428700294811,family_sensitivity,17.40411098429953,2718.5832013357413,dwp_incremental,182562.69154908217,,,,demand,179826.7042367632,4.4885571002960205,,0.0608715999987907,0.0,5,optimal,2735.987312320041,-0.00791466592976341,-0.02970778028360507
0.2353758000008383,0.01,0.9852908000011666,family_sensitivity,6.254980831948536,2739.0995340025947,chp,182344.75425403277,64725.0,466042.0,19335.0,demand,179599.399740975,0.9213003000004392,0.0,0.0639905000007274,0.0,1,optimal,2745.354514834544,-0.1343066311061222,0.3125606097923848
0.4774906635284424,0.01,4.735301648823224,family_sensitivity,6.254980816368144,2739.0995339773062,dwp_incremental,182344.75425403277,,,,demand,179599.39973924265,4.6754889488220215,,0.0598127000012027,0.0,1,optimal,2745.3545147936743,-0.1343066320693886,0.3125606082990531
0.2354426000001694,0.01,1.0166644000000815,family_sensitivity,6.256721377310651,2800.4320370557307,chp,182462.0728493064,64725.0,466042.0,19335.0,demand,179655.38410987175,0.9486323000000992,0.0,0.0680320999999821,0.0,2,optimal,2806.688758433041,-0.10317669511659484,2.5536536982020746
0.4812273979187011,0.01,4.460243181561964,family_sensitivity,6.256720408403773,2800.432036710806,dwp_incremental,182462.0728493064,,,,demand,179655.3840921866,4.401229381561279,,0.0590138000006845,0.0,2,optimal,2806.68875711921,-0.103176704950366,2.5536536501959777
0.221833699999479,0.01,1.039483200000177,family_sensitivity,6.2565060870026485,2704.210020221636,chp,182424.8654091872,64725.0,466042.0,19335.0,demand,179714.39889682137,0.9770723000001452,0.0,0.0624109000000316,0.0,3,optimal,2710.4665263086385,-0.0703617044972461,-0.9622122636736606
